iter,trueNormR1,trueNormR2,normR1,normR2
0,2.701032e-01,2.797702e-17,2.701032e-01,2.797702e-17
1,1.215612e-01,1.343761e-01,1.215612e-01,1.343761e-01
2,7.913795e-02,1.229333e-01,7.913795e-02,1.229333e-01
3,5.259592e-02,1.069579e-01,5.259592e-02,1.069579e-01
4,3.075486e-02,8.579699e-02,3.075486e-02,8.579699e-02
5,1.489943e-02,6.166353e-02,1.489943e-02,6.166353e-02
6,4.273463e-03,3.370480e-02,4.273463e-03,3.370480e-02
7,1.403662e-03,1.942069e-02,1.403662e-03,1.942069e-02
8,5.111605e-04,1.173903e-02,5.111605e-04,1.173903e-02
9,1.829067e-04,7.026395e-03,1.829067e-04,7.026395e-03
10,8.047737e-05,4.661622e-03,8.047737e-05,4.661622e-03
11,3.207262e-05,2.943109e-03,3.207262e-05,2.943109e-03
12,1.462213e-05,1.987277e-03,1.462213e-05,1.987277e-03
13,8.871130e-06,1.547915e-03,8.871130e-06,1.547915e-03
14,5.755771e-06,1.246844e-03,5.755771e-06,1.246844e-03
15,3.099412e-06,9.149598e-04,3.099412e-06,9.149598e-04
16,1.775830e-06,6.925706e-04,1.775830e-06,6.925706e-04
17,1.072044e-06,5.381091e-04,1.072044e-06,5.381091e-04
18,6.331233e-07,4.135314e-04,6.331233e-07,4.135314e-04
19,3.534172e-07,3.089644e-04,3.534172e-07,3.089644e-04
20,1.948190e-07,2.293931e-04,1.948190e-07,2.293931e-04
21,1.089536e-07,1.715479e-04,1.089536e-07,1.715479e-04
22,5.948504e-08,1.267560e-04,5.948504e-08,1.267560e-04
23,2.653915e-08,8.466587e-05,2.653915e-08,8.466587e-05
24,1.064118e-08,5.361172e-05,1.064118e-08,5.361172e-05
25,4.446429e-09,3.465537e-05,4.446429e-09,3.465537e-05
26,1.701332e-09,2.143677e-05,1.701332e-09,2.143677e-05
27,8.357020e-10,1.502417e-05,8.357021e-10,1.502417e-05
28,4.137770e-10,1.057178e-05,4.137771e-10,1.057178e-05
29,2.123247e-10,7.572948e-06,2.123247e-10,7.572948e-06
30,1.206527e-10,5.708647e-06,1.206527e-10,5.708647e-06
31,6.828861e-11,4.294759e-06,6.828868e-11,4.294759e-06
32,4.120193e-11,3.335977e-06,4.120196e-11,3.335977e-06
33,2.525215e-11,2.611640e-06,2.525220e-11,2.611640e-06
34,1.094471e-11,1.719342e-06,1.094472e-11,1.719342e-06
35,5.499551e-12,1.218754e-06,5.499587e-12,1.218754e-06
36,2.038010e-12,7.417125e-07,2.038133e-12,7.417125e-07
37,7.023809e-13,4.341039e-07,7.024478e-13,4.341039e-07
38,2.878498e-13,2.735695e-07,2.878447e-13,2.735695e-07
39,1.462169e-13,1.656737e-07,1.462844e-13,1.656737e-07
