iter,c,C
1,2.811520e-01,2.811520e-01
2,2.811520e-01,5.973920e-01
3,2.811520e-01,6.836203e-01
4,2.811520e-01,7.278843e-01
5,2.811520e-01,7.355679e-01
6,2.811520e-01,7.436770e-01
7,2.811520e-01,7.479561e-01
8,2.811520e-01,7.521701e-01
9,2.811520e-01,7.523018e-01
10,2.811520e-01,7.534069e-01
11,2.811520e-01,7.535307e-01
12,2.811520e-01,7.561208e-01
13,2.777304e-01,7.597350e-01
14,2.645897e-01,7.614670e-01
15,2.582589e-01,7.627603e-01
16,2.445710e-01,7.665619e-01
17,2.322584e-01,7.687448e-01
18,2.238291e-01,7.687769e-01
19,2.202251e-01,7.693718e-01
20,2.157056e-01,7.694599e-01
21,2.124631e-01,7.705399e-01
22,2.110546e-01,7.705475e-01
23,2.104774e-01,7.715920e-01
24,2.103875e-01,7.748070e-01
25,2.101576e-01,7.749297e-01
26,2.100670e-01,7.762608e-01
27,2.099913e-01,7.821453e-01
28,2.099906e-01,7.832889e-01
29,2.099875e-01,7.840720e-01
30,2.099701e-01,7.860672e-01
31,2.099372e-01,7.895756e-01
32,2.098820e-01,7.918915e-01
33,2.098701e-01,7.948581e-01
34,2.096963e-01,7.984736e-01
35,2.089903e-01,8.008871e-01
36,2.081431e-01,8.019551e-01
37,2.076359e-01,8.019553e-01
38,2.075261e-01,8.023770e-01
39,2.074844e-01,8.028205e-01
