iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,9.421497e-01,9.421497e-01
2,7.735390e-01,7.735390e-01
3,7.733204e-01,7.733204e-01
4,7.728375e-01,7.728375e-01
5,7.452346e-01,7.452346e-01
6,7.273214e-01,7.273214e-01
7,7.125543e-01,7.125543e-01
8,7.066620e-01,7.066620e-01
9,7.003368e-01,7.003368e-01
10,6.960257e-01,6.960257e-01
11,6.833446e-01,6.833446e-01
12,6.766698e-01,6.766698e-01
13,6.611608e-01,6.611608e-01
14,6.451761e-01,6.451761e-01
15,6.293118e-01,6.293118e-01
16,6.128708e-01,6.128708e-01
17,5.957862e-01,5.957862e-01
18,5.866162e-01,5.866162e-01
19,5.633434e-01,5.633434e-01
20,5.574211e-01,5.574211e-01
21,5.057341e-01,5.057341e-01
22,5.025797e-01,5.025797e-01
23,4.486387e-01,4.486387e-01
24,4.410977e-01,4.410977e-01
25,3.899407e-01,3.899407e-01
26,3.787383e-01,3.787383e-01
27,3.316390e-01,3.316390e-01
28,3.061402e-01,3.061402e-01
29,2.638840e-01,2.638840e-01
30,2.386426e-01,2.386426e-01
31,2.055319e-01,2.055319e-01
32,1.510389e-01,1.510389e-01
33,1.446532e-01,1.446532e-01
34,1.189392e-01,1.189392e-01
35,1.030169e-01,1.030169e-01
36,8.298126e-02,8.298126e-02
37,7.174838e-02,7.174838e-02
38,6.594249e-02,6.594249e-02
39,6.081561e-02,6.081561e-02
40,5.422548e-02,5.422548e-02
41,3.768344e-02,3.768344e-02
42,2.389358e-02,2.389358e-02
43,1.811752e-02,1.811752e-02
44,1.370434e-02,1.370434e-02
45,1.006794e-02,1.006794e-02
46,7.591333e-03,7.591333e-03
47,4.552300e-03,4.552300e-03
48,3.096890e-03,3.096890e-03
49,1.384088e-03,1.384088e-03
50,5.839993e-04,5.839993e-04
51,2.225500e-04,2.225500e-04
52,7.371678e-05,7.371678e-05
53,2.192078e-05,2.192078e-05
54,8.710213e-06,8.710213e-06
55,2.978781e-06,2.978781e-06
56,9.662290e-07,9.662290e-07
