iter,trueNormR1,trueNormR2,normR1,normR2
0,2.681017e-01,1.452413e-17,2.681017e-01,1.452413e-17
1,5.441776e-02,1.078341e-01,5.441776e-02,1.078341e-01
2,3.363253e-02,8.880197e-02,3.363253e-02,8.880197e-02
3,2.062903e-02,7.145012e-02,2.062903e-02,7.145012e-02
4,1.371651e-02,5.907011e-02,1.371651e-02,5.907011e-02
5,8.197207e-03,4.615724e-02,8.197207e-03,4.615724e-02
6,3.842002e-03,3.186356e-02,3.842002e-03,3.186356e-02
7,1.563908e-03,2.041667e-02,1.563908e-03,2.041667e-02
8,7.006090e-04,1.368735e-02,7.006090e-04,1.368735e-02
9,2.866417e-04,8.761676e-03,2.866417e-04,8.761676e-03
10,1.369335e-04,6.057503e-03,1.369335e-04,6.057503e-03
11,5.952605e-05,3.994432e-03,5.952605e-05,3.994432e-03
12,2.632054e-05,2.656292e-03,2.632054e-05,2.656292e-03
13,1.117587e-05,1.730937e-03,1.117587e-05,1.730937e-03
14,5.132699e-06,1.173055e-03,5.132699e-06,1.173055e-03
15,2.252180e-06,7.770510e-04,2.252180e-06,7.770510e-04
16,1.099601e-06,5.429582e-04,1.099601e-06,5.429582e-04
17,5.879075e-07,3.970121e-04,5.879075e-07,3.970121e-04
18,3.329578e-07,2.987749e-04,3.329578e-07,2.987749e-04
19,1.935175e-07,2.277769e-04,1.935175e-07,2.277769e-04
20,1.142599e-07,1.750236e-04,1.142599e-07,1.750236e-04
21,7.447131e-08,1.413007e-04,7.447131e-08,1.413007e-04
22,4.785322e-08,1.132675e-04,4.785322e-08,1.132675e-04
23,2.984797e-08,8.945551e-05,2.984797e-08,8.945551e-05
24,1.884223e-08,7.107485e-05,1.884223e-08,7.107485e-05
25,1.180933e-08,5.626812e-05,1.180933e-08,5.626812e-05
26,6.972300e-09,4.323523e-05,6.972300e-09,4.323523e-05
27,4.092639e-09,3.312467e-05,4.092639e-09,3.312467e-05
28,2.356104e-09,2.513315e-05,2.356104e-09,2.513315e-05
29,1.328675e-09,1.887379e-05,1.328675e-09,1.887379e-05
30,7.149335e-10,1.384467e-05,7.149335e-10,1.384467e-05
31,3.668667e-10,9.917540e-06,3.668668e-10,9.917540e-06
32,1.870880e-10,7.082276e-06,1.870880e-10,7.082276e-06
33,9.964082e-11,5.168548e-06,9.964083e-11,5.168548e-06
34,5.243549e-11,3.749409e-06,5.243553e-11,3.749409e-06
35,2.501199e-11,2.589553e-06,2.501204e-11,2.589553e-06
36,1.159141e-11,1.762864e-06,1.159141e-11,1.762864e-06
37,5.368497e-12,1.199715e-06,5.368498e-12,1.199715e-06
38,2.522139e-12,8.223192e-07,2.522165e-12,8.223192e-07
39,1.200760e-12,5.674001e-07,1.200778e-12,5.674001e-07
40,5.634581e-13,3.886981e-07,5.634954e-13,3.886981e-07
41,2.720707e-13,2.701069e-07,2.720816e-13,2.701069e-07
42,1.356719e-13,1.907371e-07,1.356517e-13,1.907371e-07
