iter,trueNorm,normR
0,7.805234e-01,7.805234e-01
1,1.688433e-02,1.688433e-02
2,1.350150e-02,1.350150e-02
3,1.093192e-02,1.093192e-02
4,9.852386e-03,9.852386e-03
5,9.059170e-03,9.059170e-03
6,9.008293e-03,9.008293e-03
7,8.610417e-03,8.610417e-03
8,8.524981e-03,8.524981e-03
9,8.468864e-03,8.468864e-03
10,8.279629e-03,8.279629e-03
11,8.160559e-03,8.160559e-03
12,8.121358e-03,8.121358e-03
13,7.934423e-03,7.934423e-03
14,7.645516e-03,7.645516e-03
15,7.606655e-03,7.606655e-03
16,7.316872e-03,7.316872e-03
17,7.129824e-03,7.129824e-03
18,6.898620e-03,6.898620e-03
19,6.775250e-03,6.775250e-03
20,6.603013e-03,6.603013e-03
21,6.516321e-03,6.516321e-03
22,6.241875e-03,6.241875e-03
23,6.210775e-03,6.210775e-03
24,6.001752e-03,6.001752e-03
25,5.788515e-03,5.788515e-03
26,5.517746e-03,5.517746e-03
27,5.277532e-03,5.277532e-03
28,4.897832e-03,4.897832e-03
29,4.758969e-03,4.758969e-03
30,4.518853e-03,4.518853e-03
31,4.434084e-03,4.434084e-03
32,4.150807e-03,4.150807e-03
33,3.970418e-03,3.970418e-03
34,3.849318e-03,3.849318e-03
35,3.640856e-03,3.640856e-03
36,3.638457e-03,3.638457e-03
37,3.155220e-03,3.155220e-03
38,2.792878e-03,2.792878e-03
39,2.572179e-03,2.572179e-03
40,2.520959e-03,2.520959e-03
41,2.443017e-03,2.443017e-03
42,2.109167e-03,2.109167e-03
43,1.870918e-03,1.870918e-03
44,1.843491e-03,1.843491e-03
45,1.399540e-03,1.399540e-03
46,9.815153e-04,9.815153e-04
47,8.121017e-04,8.121017e-04
48,7.631663e-04,7.631663e-04
49,4.940657e-04,4.940657e-04
50,3.830690e-04,3.830690e-04
51,3.802532e-04,3.802532e-04
52,2.560499e-04,2.560499e-04
53,1.895265e-04,1.895265e-04
54,1.803327e-04,1.803327e-04
55,1.527392e-04,1.527392e-04
56,1.421716e-04,1.421716e-04
57,1.157998e-04,1.157998e-04
58,8.121725e-05,8.121725e-05
59,7.068703e-05,7.068703e-05
60,6.809702e-05,6.809702e-05
61,5.897674e-05,5.897674e-05
62,4.959994e-05,4.959994e-05
63,4.183247e-05,4.183247e-05
64,3.956978e-05,3.956978e-05
65,3.502127e-05,3.502127e-05
66,2.927659e-05,2.927659e-05
67,2.807078e-05,2.807078e-05
68,1.980906e-05,1.980906e-05
69,1.070967e-05,1.070967e-05
70,6.064190e-06,6.064190e-06
71,4.921764e-06,4.921764e-06
72,3.755290e-06,3.755290e-06
73,1.997229e-06,1.997229e-06
74,1.533419e-06,1.533419e-06
75,1.319745e-06,1.319745e-06
76,8.279190e-07,8.279190e-07
77,5.497348e-07,5.497348e-07
