iter,trueNormR1,trueNormR2,normR1,normR2
0,2.751658e-01,7.377403e-18,2.751658e-01,7.377403e-18
1,1.418889e-02,6.085206e-02,1.418889e-02,6.085206e-02
2,7.482823e-03,4.475516e-02,7.482823e-03,4.475516e-02
3,4.423594e-03,3.460714e-02,4.423594e-03,3.460714e-02
4,2.952914e-03,2.835174e-02,2.952914e-03,2.835174e-02
5,1.809235e-03,2.223885e-02,1.809235e-03,2.223885e-02
6,9.437691e-04,1.608733e-02,9.437691e-04,1.608733e-02
7,4.383254e-04,1.097361e-02,4.383254e-04,1.097361e-02
8,2.093523e-04,7.587014e-03,2.093523e-04,7.587014e-03
9,9.807769e-05,5.194036e-03,9.807769e-05,5.194036e-03
10,4.629560e-05,3.568869e-03,4.629560e-05,3.568869e-03
11,2.228784e-05,2.476359e-03,2.228784e-05,2.476359e-03
12,1.086551e-05,1.729074e-03,1.086551e-05,1.729074e-03
13,5.489766e-06,1.229051e-03,5.489766e-06,1.229051e-03
14,2.670559e-06,8.572277e-04,2.670559e-06,8.572277e-04
15,1.207439e-06,5.764064e-04,1.207439e-06,5.764064e-04
16,5.439628e-07,3.868846e-04,5.439628e-07,3.868846e-04
17,2.491929e-07,2.618574e-04,2.491929e-07,2.618574e-04
18,1.205675e-07,1.821429e-04,1.205675e-07,1.821429e-04
19,6.214433e-08,1.307669e-04,6.214433e-08,1.307669e-04
20,3.362175e-08,9.618501e-05,3.362175e-08,9.618501e-05
21,1.854315e-08,7.143138e-05,1.854315e-08,7.143138e-05
22,1.058196e-08,5.396105e-05,1.058196e-08,5.396105e-05
23,6.631291e-09,4.271656e-05,6.631291e-09,4.271656e-05
24,4.177672e-09,3.390505e-05,4.177672e-09,3.390505e-05
25,2.748353e-09,2.750005e-05,2.748353e-09,2.750005e-05
26,1.829711e-09,2.243823e-05,1.829711e-09,2.243823e-05
27,1.205423e-09,1.821239e-05,1.205423e-09,1.821239e-05
28,7.886952e-10,1.473167e-05,7.886951e-10,1.473167e-05
29,4.908167e-10,1.162136e-05,4.908167e-10,1.162136e-05
30,2.896088e-10,8.926952e-06,2.896088e-10,8.926952e-06
31,1.723657e-10,6.886884e-06,1.723657e-10,6.886884e-06
32,9.880494e-11,5.214189e-06,9.880493e-11,5.214189e-06
33,5.480091e-11,3.883215e-06,5.480088e-11,3.883215e-06
34,3.032535e-11,2.888688e-06,3.032532e-11,2.888688e-06
35,1.752542e-11,2.195997e-06,1.752535e-11,2.195997e-06
36,9.734267e-12,1.636630e-06,9.734250e-12,1.636630e-06
37,5.346020e-12,1.212866e-06,5.345939e-12,1.212866e-06
38,2.839436e-12,8.839331e-07,2.839424e-12,8.839331e-07
39,1.389042e-12,6.182486e-07,1.389002e-12,6.182486e-07
40,7.043157e-13,4.402429e-07,7.042603e-13,4.402429e-07
41,3.581345e-13,3.139444e-07,3.580953e-13,3.139444e-07
42,1.759161e-13,2.200712e-07,1.759153e-13,2.200712e-07
