iter,c,C
1,1.148730e-01,1.148730e-01
2,1.096284e-01,1.148730e-01
3,1.072864e-01,1.196777e-01
4,1.029262e-01,1.256986e-01
5,1.004792e-01,1.278063e-01
6,9.788284e-02,1.278223e-01
7,9.549885e-02,1.280505e-01
8,9.441008e-02,1.281282e-01
9,9.315453e-02,1.284702e-01
10,9.138116e-02,1.284967e-01
11,9.005291e-02,1.291117e-01
12,8.991931e-02,1.294977e-01
13,8.913372e-02,1.295158e-01
14,8.900519e-02,1.297149e-01
15,8.628888e-02,1.300967e-01
16,8.003636e-02,1.300969e-01
17,7.218626e-02,1.306162e-01
18,6.444415e-02,1.308459e-01
19,5.774189e-02,1.308576e-01
20,5.203774e-02,1.310075e-01
21,4.689068e-02,1.310518e-01
22,4.211771e-02,1.310550e-01
23,3.798865e-02,1.311024e-01
24,3.501603e-02,1.311182e-01
25,3.255992e-02,1.314089e-01
26,3.083222e-02,1.315428e-01
27,2.954340e-02,1.315456e-01
28,2.859831e-02,1.317351e-01
29,2.795800e-02,1.319770e-01
30,2.746963e-02,1.320200e-01
31,2.707573e-02,1.320206e-01
32,2.680301e-02,1.320896e-01
33,2.662904e-02,1.320954e-01
34,2.648507e-02,1.320956e-01
35,2.636306e-02,1.321061e-01
36,2.626622e-02,1.321063e-01
37,2.618221e-02,1.321405e-01
38,2.612085e-02,1.321775e-01
39,2.607174e-02,1.321834e-01
40,2.602868e-02,1.322234e-01
41,2.599678e-02,1.322544e-01
42,2.597535e-02,1.322553e-01
43,2.595922e-02,1.322636e-01
44,2.594677e-02,1.322637e-01
