iter,trueNorm,normR
0,5.348666e-01,5.348666e-01
1,4.867007e-01,4.867007e-01
2,3.637179e-01,3.637179e-01
3,3.620755e-01,3.620755e-01
4,3.606762e-01,3.606762e-01
5,3.502850e-01,3.502850e-01
6,3.401782e-01,3.401782e-01
7,3.304064e-01,3.304064e-01
8,3.246307e-01,3.246307e-01
9,3.194930e-01,3.194930e-01
10,3.166365e-01,3.166365e-01
11,3.093449e-01,3.093449e-01
12,3.053292e-01,3.053292e-01
13,2.976699e-01,2.976699e-01
14,2.875068e-01,2.875068e-01
15,2.793902e-01,2.793902e-01
16,2.694463e-01,2.694463e-01
17,2.612508e-01,2.612508e-01
18,2.554905e-01,2.554905e-01
19,2.447936e-01,2.447936e-01
20,2.425060e-01,2.425060e-01
21,2.181930e-01,2.181930e-01
22,2.172542e-01,2.172542e-01
23,1.930372e-01,1.930372e-01
24,1.882530e-01,1.882530e-01
25,1.674414e-01,1.674414e-01
26,1.606175e-01,1.606175e-01
27,1.419427e-01,1.419427e-01
28,1.322703e-01,1.322703e-01
29,1.162964e-01,1.162964e-01
30,1.034143e-01,1.034143e-01
31,9.033883e-02,9.033883e-02
32,6.535655e-02,6.535655e-02
33,6.195338e-02,6.195338e-02
34,5.117528e-02,5.117528e-02
35,4.477918e-02,4.477918e-02
36,3.526295e-02,3.526295e-02
37,2.997271e-02,2.997271e-02
38,2.785370e-02,2.785370e-02
39,2.569788e-02,2.569788e-02
40,2.318269e-02,2.318269e-02
41,1.597749e-02,1.597749e-02
42,1.029483e-02,1.029483e-02
43,7.647145e-03,7.647145e-03
44,5.764227e-03,5.764227e-03
45,4.237337e-03,4.237337e-03
46,3.154949e-03,3.154949e-03
47,1.885978e-03,1.885978e-03
48,1.320949e-03,1.320949e-03
49,5.786381e-04,5.786381e-04
50,2.516235e-04,2.516235e-04
51,9.382945e-05,9.382945e-05
52,3.064105e-05,3.064105e-05
53,8.925491e-06,8.925491e-06
54,3.700429e-06,3.700429e-06
55,1.249315e-06,1.249315e-06
56,4.167224e-07,4.167224e-07
