iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,3.717141e-03,3.717141e-03
2,1.465396e-03,1.465396e-03
3,1.377311e-03,1.377311e-03
4,1.075349e-03,1.075349e-03
5,1.052756e-03,1.052756e-03
6,9.849240e-04,9.849240e-04
7,9.619697e-04,9.619697e-04
8,9.532960e-04,9.532960e-04
9,9.336569e-04,9.336569e-04
10,9.171206e-04,9.171206e-04
11,9.130672e-04,9.130672e-04
12,8.951897e-04,8.951897e-04
13,8.837349e-04,8.837349e-04
14,8.620977e-04,8.620977e-04
15,8.396513e-04,8.396513e-04
16,8.222132e-04,8.222132e-04
17,7.988973e-04,7.988973e-04
18,7.735850e-04,7.735850e-04
19,7.536174e-04,7.536174e-04
20,7.351954e-04,7.351954e-04
21,7.306975e-04,7.306975e-04
22,6.951346e-04,6.951346e-04
23,6.894523e-04,6.894523e-04
24,6.716807e-04,6.716807e-04
25,6.548232e-04,6.548232e-04
26,6.170607e-04,6.170607e-04
27,6.042611e-04,6.042611e-04
28,5.511523e-04,5.511523e-04
29,5.381628e-04,5.381628e-04
30,4.993128e-04,4.993128e-04
31,4.970907e-04,4.970907e-04
32,4.716616e-04,4.716616e-04
33,4.419153e-04,4.419153e-04
34,4.359034e-04,4.359034e-04
35,4.062991e-04,4.062991e-04
36,3.975948e-04,3.975948e-04
37,3.797942e-04,3.797942e-04
38,3.190382e-04,3.190382e-04
39,2.917971e-04,2.917971e-04
40,2.809076e-04,2.809076e-04
41,2.710989e-04,2.710989e-04
42,2.524392e-04,2.524392e-04
43,2.127086e-04,2.127086e-04
44,2.050147e-04,2.050147e-04
45,1.782738e-04,1.782738e-04
46,1.272493e-04,1.272493e-04
47,9.079523e-05,9.079523e-05
48,8.990455e-05,8.990455e-05
49,6.588314e-05,6.588314e-05
50,4.522981e-05,4.522981e-05
51,4.215066e-05,4.215066e-05
52,3.435821e-05,3.435821e-05
53,2.309797e-05,2.309797e-05
54,2.029118e-05,2.029118e-05
55,1.813534e-05,1.813534e-05
56,1.609549e-05,1.609549e-05
57,1.474864e-05,1.474864e-05
58,1.022448e-05,1.022448e-05
59,8.133683e-06,8.133683e-06
60,7.759145e-06,7.759145e-06
61,7.013504e-06,7.013504e-06
62,5.948413e-06,5.948413e-06
63,4.961871e-06,4.961871e-06
64,4.459441e-06,4.459441e-06
65,4.165586e-06,4.165586e-06
66,3.426263e-06,3.426263e-06
67,3.212326e-06,3.212326e-06
68,2.677341e-06,2.677341e-06
69,1.544971e-06,1.544971e-06
70,8.383905e-07,8.383905e-07
