iter,c,C
1,5.384783e-02,5.384783e-02
2,1.519872e-02,5.384783e-02
3,1.518130e-02,5.384783e-02
4,1.508153e-02,5.384783e-02
5,1.505320e-02,5.384783e-02
6,1.501439e-02,5.384783e-02
7,1.498451e-02,5.384783e-02
8,1.495282e-02,5.384783e-02
9,1.492263e-02,5.384783e-02
10,1.487414e-02,5.384783e-02
11,1.485353e-02,5.384783e-02
12,1.481788e-02,5.384783e-02
13,1.479546e-02,5.384783e-02
14,1.474237e-02,5.384783e-02
15,1.467002e-02,5.384783e-02
16,1.422594e-02,5.384783e-02
17,1.362411e-02,5.384783e-02
18,1.291967e-02,5.384783e-02
19,1.210699e-02,5.384783e-02
20,1.123382e-02,5.384783e-02
21,1.029500e-02,5.384783e-02
22,9.251707e-03,5.384783e-02
23,8.146611e-03,5.384783e-02
24,7.124592e-03,5.384783e-02
25,6.253724e-03,5.384783e-02
26,5.505608e-03,5.384783e-02
27,4.909632e-03,5.384783e-02
28,4.441038e-03,5.384783e-02
29,4.094897e-03,5.384783e-02
30,3.867727e-03,5.384783e-02
31,3.699926e-03,5.384783e-02
32,3.571461e-03,5.384783e-02
33,3.486106e-03,5.384783e-02
34,3.427390e-03,5.384783e-02
35,3.382736e-03,5.384783e-02
36,3.349561e-03,5.384783e-02
37,3.324166e-03,5.384783e-02
38,3.305279e-03,5.384783e-02
39,3.290737e-03,5.384783e-02
40,3.279133e-03,5.384783e-02
41,3.269442e-03,5.384783e-02
42,3.261820e-03,5.384783e-02
43,3.256132e-03,5.384783e-02
