iter,trueNorm,normR
0,6.712048e-01,6.712048e-01
1,2.758852e-01,2.758852e-01
2,2.616203e-01,2.616203e-01
3,2.027222e-01,2.027222e-01
4,2.005514e-01,2.005514e-01
5,1.948165e-01,1.948165e-01
6,1.887119e-01,1.887119e-01
7,1.856914e-01,1.856914e-01
8,1.846702e-01,1.846702e-01
9,1.805231e-01,1.805231e-01
10,1.770194e-01,1.770194e-01
11,1.753826e-01,1.753826e-01
12,1.732203e-01,1.732203e-01
13,1.685708e-01,1.685708e-01
14,1.656813e-01,1.656813e-01
15,1.611405e-01,1.611405e-01
16,1.543637e-01,1.543637e-01
17,1.527595e-01,1.527595e-01
18,1.455044e-01,1.455044e-01
19,1.451551e-01,1.451551e-01
20,1.372018e-01,1.372018e-01
21,1.371961e-01,1.371961e-01
22,1.308391e-01,1.308391e-01
23,1.269113e-01,1.269113e-01
24,1.257572e-01,1.257572e-01
25,1.240004e-01,1.240004e-01
26,1.206697e-01,1.206697e-01
27,1.148641e-01,1.148641e-01
28,1.130486e-01,1.130486e-01
29,1.117995e-01,1.117995e-01
30,1.090265e-01,1.090265e-01
31,1.069393e-01,1.069393e-01
32,1.009310e-01,1.009310e-01
33,9.769396e-02,9.769396e-02
34,9.545840e-02,9.545840e-02
35,8.823093e-02,8.823093e-02
36,8.326668e-02,8.326668e-02
37,7.362063e-02,7.362063e-02
38,6.801174e-02,6.801174e-02
39,5.889117e-02,5.889117e-02
40,5.248547e-02,5.248547e-02
41,4.464197e-02,4.464197e-02
42,3.998061e-02,3.998061e-02
43,3.566234e-02,3.566234e-02
44,2.949463e-02,2.949463e-02
45,2.529588e-02,2.529588e-02
46,1.997603e-02,1.997603e-02
47,1.745971e-02,1.745971e-02
48,1.465797e-02,1.465797e-02
49,1.146715e-02,1.146715e-02
50,9.374087e-03,9.374087e-03
51,7.472413e-03,7.472413e-03
52,6.538707e-03,6.538707e-03
53,4.982690e-03,4.982690e-03
54,4.136330e-03,4.136330e-03
55,3.218751e-03,3.218751e-03
56,2.567233e-03,2.567233e-03
57,1.825546e-03,1.825546e-03
58,1.359863e-03,1.359863e-03
59,1.089308e-03,1.089308e-03
60,8.394863e-04,8.394863e-04
61,5.634127e-04,5.634127e-04
62,3.505317e-04,3.505317e-04
63,2.536773e-04,2.536773e-04
64,1.867901e-04,1.867901e-04
65,1.198694e-04,1.198694e-04
66,6.041767e-05,6.041767e-05
67,3.395814e-05,3.395814e-05
68,1.666684e-05,1.666684e-05
69,7.896541e-06,7.896541e-06
70,3.786823e-06,3.786823e-06
71,1.706916e-06,1.706916e-06
72,7.534949e-07,7.534949e-07
73,3.600648e-07,3.600648e-07
