iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,1.314402e-02,1.314402e-02
2,5.855096e-03,5.855096e-03
3,5.475896e-03,5.475896e-03
4,4.309472e-03,4.309472e-03
5,4.209867e-03,4.209867e-03
6,3.958989e-03,3.958989e-03
7,3.855040e-03,3.855040e-03
8,3.825988e-03,3.825988e-03
9,3.750835e-03,3.750835e-03
10,3.679184e-03,3.679184e-03
11,3.663818e-03,3.663818e-03
12,3.596586e-03,3.596586e-03
13,3.546015e-03,3.546015e-03
14,3.455250e-03,3.455250e-03
15,3.373470e-03,3.373470e-03
16,3.295607e-03,3.295607e-03
17,3.204578e-03,3.204578e-03
18,3.101542e-03,3.101542e-03
19,3.024763e-03,3.024763e-03
20,2.946936e-03,2.946936e-03
21,2.932591e-03,2.932591e-03
22,2.782420e-03,2.782420e-03
23,2.765667e-03,2.765667e-03
24,2.688378e-03,2.688378e-03
25,2.620078e-03,2.620078e-03
26,2.469239e-03,2.469239e-03
27,2.416491e-03,2.416491e-03
28,2.218164e-03,2.218164e-03
29,2.202895e-03,2.202895e-03
30,2.176698e-03,2.176698e-03
31,2.082692e-03,2.082692e-03
32,1.899099e-03,1.899099e-03
33,1.805144e-03,1.805144e-03
34,1.792772e-03,1.792772e-03
35,1.738182e-03,1.738182e-03
36,1.704592e-03,1.704592e-03
37,1.528582e-03,1.528582e-03
38,1.358456e-03,1.358456e-03
39,1.344688e-03,1.344688e-03
40,1.264902e-03,1.264902e-03
41,1.176174e-03,1.176174e-03
42,1.108299e-03,1.108299e-03
43,1.061395e-03,1.061395e-03
44,9.728535e-04,9.728535e-04
45,7.345515e-04,7.345515e-04
46,6.194021e-04,6.194021e-04
47,6.108271e-04,6.108271e-04
48,4.611652e-04,4.611652e-04
49,3.141871e-04,3.141871e-04
50,3.101410e-04,3.101410e-04
51,2.568019e-04,2.568019e-04
52,1.934623e-04,1.934623e-04
53,1.793310e-04,1.793310e-04
54,1.524616e-04,1.524616e-04
55,1.433902e-04,1.433902e-04
56,1.152655e-04,1.152655e-04
57,7.808594e-05,7.808594e-05
58,6.392357e-05,6.392357e-05
59,5.991612e-05,5.991612e-05
60,4.695655e-05,4.695655e-05
61,3.884345e-05,3.884345e-05
62,3.483712e-05,3.483712e-05
63,3.034177e-05,3.034177e-05
64,2.805752e-05,2.805752e-05
65,2.554687e-05,2.554687e-05
66,2.312443e-05,2.312443e-05
67,1.881875e-05,1.881875e-05
68,1.220827e-05,1.220827e-05
69,7.973643e-06,7.973643e-06
70,6.576908e-06,6.576908e-06
71,5.254641e-06,5.254641e-06
72,3.207768e-06,3.207768e-06
73,2.368826e-06,2.368826e-06
74,2.002554e-06,2.002554e-06
75,1.386787e-06,1.386787e-06
76,9.788793e-07,9.788793e-07
