iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,4.318448e-01,4.318448e-01
2,3.981827e-01,3.981827e-01
3,3.169762e-01,3.169762e-01
4,3.095540e-01,3.095540e-01
5,2.955447e-01,2.955447e-01
6,2.894522e-01,2.894522e-01
7,2.874258e-01,2.874258e-01
8,2.832296e-01,2.832296e-01
9,2.759661e-01,2.759661e-01
10,2.723215e-01,2.723215e-01
11,2.705867e-01,2.705867e-01
12,2.678814e-01,2.678814e-01
13,2.589609e-01,2.589609e-01
14,2.549963e-01,2.549963e-01
15,2.508160e-01,2.508160e-01
16,2.396223e-01,2.396223e-01
17,2.371686e-01,2.371686e-01
18,2.256978e-01,2.256978e-01
19,2.251513e-01,2.251513e-01
20,2.140616e-01,2.140616e-01
21,2.129170e-01,2.129170e-01
22,2.037028e-01,2.037028e-01
23,1.962617e-01,1.962617e-01
24,1.953856e-01,1.953856e-01
25,1.923844e-01,1.923844e-01
26,1.898619e-01,1.898619e-01
27,1.777458e-01,1.777458e-01
28,1.762777e-01,1.762777e-01
29,1.740894e-01,1.740894e-01
30,1.685707e-01,1.685707e-01
31,1.663964e-01,1.663964e-01
32,1.574779e-01,1.574779e-01
33,1.513472e-01,1.513472e-01
34,1.488066e-01,1.488066e-01
35,1.358834e-01,1.358834e-01
36,1.289077e-01,1.289077e-01
37,1.143863e-01,1.143863e-01
38,1.027504e-01,1.027504e-01
39,8.953899e-02,8.953899e-02
40,7.900165e-02,7.900165e-02
41,6.716837e-02,6.716837e-02
42,5.894067e-02,5.894067e-02
43,5.260729e-02,5.260729e-02
44,4.362954e-02,4.362954e-02
45,3.831945e-02,3.831945e-02
46,3.018943e-02,3.018943e-02
47,2.595070e-02,2.595070e-02
48,2.207857e-02,2.207857e-02
49,1.727172e-02,1.727172e-02
50,1.434032e-02,1.434032e-02
51,1.139776e-02,1.139776e-02
52,9.954327e-03,9.954327e-03
53,7.616969e-03,7.616969e-03
54,6.459072e-03,6.459072e-03
55,5.107869e-03,5.107869e-03
56,4.020824e-03,4.020824e-03
57,2.906765e-03,2.906765e-03
58,2.147194e-03,2.147194e-03
59,1.735916e-03,1.735916e-03
60,1.342734e-03,1.342734e-03
61,9.330285e-04,9.330285e-04
62,5.809760e-04,5.809760e-04
63,4.016597e-04,4.016597e-04
64,2.983545e-04,2.983545e-04
65,1.980111e-04,1.980111e-04
66,9.977137e-05,9.977137e-05
67,5.643061e-05,5.643061e-05
68,2.830627e-05,2.830627e-05
69,1.306197e-05,1.306197e-05
70,6.521655e-06,6.521655e-06
71,2.916741e-06,2.916741e-06
72,1.253226e-06,1.253226e-06
73,6.020170e-07,6.020170e-07
