iter,trueNorm,normR
0,7.686346e-01,7.686346e-01
1,6.780391e-02,6.780391e-02
2,5.543535e-02,5.543535e-02
3,4.440844e-02,4.440844e-02
4,4.052547e-02,4.052547e-02
5,3.714951e-02,3.714951e-02
6,3.706455e-02,3.706455e-02
7,3.555166e-02,3.555166e-02
8,3.507581e-02,3.507581e-02
9,3.488277e-02,3.488277e-02
10,3.417352e-02,3.417352e-02
11,3.356856e-02,3.356856e-02
12,3.343236e-02,3.343236e-02
13,3.271094e-02,3.271094e-02
14,3.143367e-02,3.143367e-02
15,3.128817e-02,3.128817e-02
16,3.013182e-02,3.013182e-02
17,2.928603e-02,2.928603e-02
18,2.835930e-02,2.835930e-02
19,2.786388e-02,2.786388e-02
20,2.723118e-02,2.723118e-02
21,2.657725e-02,2.657725e-02
22,2.561864e-02,2.561864e-02
23,2.537045e-02,2.537045e-02
24,2.448314e-02,2.448314e-02
25,2.348502e-02,2.348502e-02
26,2.277972e-02,2.277972e-02
27,2.194506e-02,2.194506e-02
28,2.194115e-02,2.194115e-02
29,2.068703e-02,2.068703e-02
30,2.022139e-02,2.022139e-02
31,1.858038e-02,1.858038e-02
32,1.840606e-02,1.840606e-02
33,1.784385e-02,1.784385e-02
34,1.671177e-02,1.671177e-02
35,1.646949e-02,1.646949e-02
36,1.553525e-02,1.553525e-02
37,1.487711e-02,1.487711e-02
38,1.425802e-02,1.425802e-02
39,1.311712e-02,1.311712e-02
40,1.278021e-02,1.278021e-02
41,1.166487e-02,1.166487e-02
42,1.059474e-02,1.059474e-02
43,9.741799e-03,9.741799e-03
44,8.519897e-03,8.519897e-03
45,8.367530e-03,8.367530e-03
46,7.220617e-03,7.220617e-03
47,5.621683e-03,5.621683e-03
48,5.144500e-03,5.144500e-03
49,4.669138e-03,4.669138e-03
50,3.871924e-03,3.871924e-03
51,3.428583e-03,3.428583e-03
52,2.965115e-03,2.965115e-03
53,2.746383e-03,2.746383e-03
54,2.341113e-03,2.341113e-03
55,1.620410e-03,1.620410e-03
56,1.311748e-03,1.311748e-03
57,1.201735e-03,1.201735e-03
58,9.463373e-04,9.463373e-04
59,7.784400e-04,7.784400e-04
60,6.773502e-04,6.773502e-04
61,5.703897e-04,5.703897e-04
62,5.000833e-04,5.000833e-04
63,4.467500e-04,4.467500e-04
64,3.642896e-04,3.642896e-04
65,2.923818e-04,2.923818e-04
66,2.204921e-04,2.204921e-04
67,1.586160e-04,1.586160e-04
68,1.239539e-04,1.239539e-04
69,1.033058e-04,1.033058e-04
70,7.700735e-05,7.700735e-05
71,5.980361e-05,5.980361e-05
72,5.111592e-05,5.111592e-05
73,3.618993e-05,3.618993e-05
74,2.675319e-05,2.675319e-05
75,1.933322e-05,1.933322e-05
76,1.289375e-05,1.289375e-05
77,1.049955e-05,1.049955e-05
78,8.208451e-06,8.208451e-06
79,5.050225e-06,5.050225e-06
80,2.869955e-06,2.869955e-06
81,1.418301e-06,1.418301e-06
82,6.195101e-07,6.195101e-07
