iter,trueNorm,normR
0,7.777290e-01,7.777290e-01
1,3.380182e-02,3.380182e-02
2,2.717111e-02,2.717111e-02
3,2.194097e-02,2.194097e-02
4,1.983428e-02,1.983428e-02
5,1.822025e-02,1.822025e-02
6,1.813445e-02,1.813445e-02
7,1.734481e-02,1.734481e-02
8,1.715942e-02,1.715942e-02
9,1.705231e-02,1.705231e-02
10,1.667773e-02,1.667773e-02
11,1.642459e-02,1.642459e-02
12,1.635055e-02,1.635055e-02
13,1.597802e-02,1.597802e-02
14,1.538507e-02,1.538507e-02
15,1.531178e-02,1.531178e-02
16,1.472918e-02,1.472918e-02
17,1.434555e-02,1.434555e-02
18,1.388178e-02,1.388178e-02
19,1.363769e-02,1.363769e-02
20,1.329485e-02,1.329485e-02
21,1.309362e-02,1.309362e-02
22,1.255620e-02,1.255620e-02
23,1.248283e-02,1.248283e-02
24,1.205732e-02,1.205732e-02
25,1.161353e-02,1.161353e-02
26,1.110203e-02,1.110203e-02
27,1.058841e-02,1.058841e-02
28,1.002851e-02,1.002851e-02
29,9.930218e-03,9.930218e-03
30,9.892002e-03,9.892002e-03
31,9.028330e-03,9.028330e-03
32,8.404357e-03,8.404357e-03
33,8.258975e-03,8.258975e-03
34,7.992027e-03,7.992027e-03
35,7.896429e-03,7.896429e-03
36,7.556063e-03,7.556063e-03
37,6.450557e-03,6.450557e-03
38,6.213664e-03,6.213664e-03
39,6.071851e-03,6.071851e-03
40,5.497485e-03,5.497485e-03
41,5.304725e-03,5.304725e-03
42,4.951509e-03,4.951509e-03
43,4.724250e-03,4.724250e-03
44,4.041878e-03,4.041878e-03
45,3.029400e-03,3.029400e-03
46,2.845878e-03,2.845878e-03
47,2.628867e-03,2.628867e-03
48,1.740986e-03,1.740986e-03
49,1.420381e-03,1.420381e-03
50,1.347827e-03,1.347827e-03
51,1.030671e-03,1.030671e-03
52,8.520349e-04,8.520349e-04
53,7.687291e-04,7.687291e-04
54,6.666650e-04,6.666650e-04
55,6.307519e-04,6.307519e-04
56,4.447485e-04,4.447485e-04
57,3.114469e-04,3.114469e-04
58,2.888003e-04,2.888003e-04
59,2.490405e-04,2.490405e-04
60,1.915372e-04,1.915372e-04
61,1.685302e-04,1.685302e-04
62,1.486651e-04,1.486651e-04
63,1.321058e-04,1.321058e-04
64,1.222360e-04,1.222360e-04
65,1.112851e-04,1.112851e-04
66,9.855123e-05,9.855123e-05
67,7.256877e-05,7.256877e-05
68,4.533132e-05,4.533132e-05
69,3.275776e-05,3.275776e-05
70,2.778528e-05,2.778528e-05
71,1.984131e-05,1.984131e-05
72,1.230962e-05,1.230962e-05
73,1.022883e-05,1.022883e-05
74,7.936699e-06,7.936699e-06
75,5.385560e-06,5.385560e-06
76,3.866909e-06,3.866909e-06
77,2.465144e-06,2.465144e-06
78,1.895131e-06,1.895131e-06
79,1.546732e-06,1.546732e-06
80,1.065934e-06,1.065934e-06
81,6.380799e-07,6.380799e-07
