iter,trueNorm,normR
0,3.553622e-01,3.553622e-01
1,1.695955e-01,1.695955e-01
2,1.395417e-01,1.395417e-01
3,1.270501e-01,1.270501e-01
4,9.533939e-02,9.533939e-02
5,7.801731e-02,7.801731e-02
6,7.456815e-02,7.456815e-02
7,7.268948e-02,7.268948e-02
8,6.366508e-02,6.366508e-02
9,5.192088e-02,5.192088e-02
10,4.450195e-02,4.450195e-02
11,3.369142e-02,3.369142e-02
12,2.566391e-02,2.566391e-02
13,1.650294e-02,1.650294e-02
14,1.126462e-02,1.126462e-02
15,8.538788e-03,8.538788e-03
16,6.745698e-03,6.745698e-03
17,2.498907e-03,2.498907e-03
18,1.032267e-03,1.032267e-03
19,1.759554e-04,1.759554e-04
20,3.297333e-05,3.297333e-05
21,4.609227e-16,1.593615e-16
