iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,1.456220e-01,1.456220e-01
2,9.694927e-02,9.694927e-02
3,8.527588e-02,8.527588e-02
4,7.238571e-02,7.238571e-02
5,6.886461e-02,6.886461e-02
6,6.771882e-02,6.771882e-02
7,6.512215e-02,6.512215e-02
8,6.446701e-02,6.446701e-02
9,6.403438e-02,6.403438e-02
10,6.248754e-02,6.248754e-02
11,6.159972e-02,6.159972e-02
12,6.129073e-02,6.129073e-02
13,6.022731e-02,6.022731e-02
14,5.776686e-02,5.776686e-02
15,5.744116e-02,5.744116e-02
16,5.567971e-02,5.567971e-02
17,5.382439e-02,5.382439e-02
18,5.225396e-02,5.225396e-02
19,5.114394e-02,5.114394e-02
20,5.007966e-02,5.007966e-02
21,4.838254e-02,4.838254e-02
22,4.655477e-02,4.655477e-02
23,4.591450e-02,4.591450e-02
24,4.423457e-02,4.423457e-02
25,4.269448e-02,4.269448e-02
26,4.247517e-02,4.247517e-02
27,4.203494e-02,4.203494e-02
28,3.993513e-02,3.993513e-02
29,3.798013e-02,3.798013e-02
30,3.695506e-02,3.695506e-02
31,3.648212e-02,3.648212e-02
32,3.554852e-02,3.554852e-02
33,3.366443e-02,3.366443e-02
34,3.341431e-02,3.341431e-02
35,3.164779e-02,3.164779e-02
36,3.017704e-02,3.017704e-02
37,2.979226e-02,2.979226e-02
38,2.716135e-02,2.716135e-02
39,2.660104e-02,2.660104e-02
40,2.358151e-02,2.358151e-02
41,2.141798e-02,2.141798e-02
42,1.959372e-02,1.959372e-02
43,1.837393e-02,1.837393e-02
44,1.730075e-02,1.730075e-02
45,1.463758e-02,1.463758e-02
46,1.272443e-02,1.272443e-02
47,1.203178e-02,1.203178e-02
48,1.032333e-02,1.032333e-02
49,8.907966e-03,8.907966e-03
50,7.817180e-03,7.817180e-03
51,6.844206e-03,6.844206e-03
52,6.222611e-03,6.222611e-03
53,4.901108e-03,4.901108e-03
54,3.951540e-03,3.951540e-03
55,3.455515e-03,3.455515e-03
56,2.797837e-03,2.797837e-03
57,2.361972e-03,2.361972e-03
58,1.974988e-03,1.974988e-03
59,1.764276e-03,1.764276e-03
60,1.419448e-03,1.419448e-03
61,1.249521e-03,1.249521e-03
62,1.042790e-03,1.042790e-03
63,8.181227e-04,8.181227e-04
64,5.890140e-04,5.890140e-04
65,4.393791e-04,4.393791e-04
66,3.342557e-04,3.342557e-04
67,2.762433e-04,2.762433e-04
68,2.216008e-04,2.216008e-04
69,1.660745e-04,1.660745e-04
70,1.287066e-04,1.287066e-04
71,9.307628e-05,9.307628e-05
72,7.171396e-05,7.171396e-05
73,5.095844e-05,5.095844e-05
74,3.542879e-05,3.542879e-05
75,2.767021e-05,2.767021e-05
76,1.768479e-05,1.768479e-05
77,1.013065e-05,1.013065e-05
78,5.535057e-06,5.535057e-06
79,2.670458e-06,2.670458e-06
80,1.344439e-06,1.344439e-06
81,6.878574e-07,6.878574e-07
