iter,c,C
1,1.489858e+00,1.489858e+00
2,1.423826e+00,1.803958e+00
3,1.395673e+00,1.989725e+00
4,1.366316e+00,2.103233e+00
5,1.331214e+00,2.173517e+00
6,1.314408e+00,2.236524e+00
7,1.297394e+00,2.291733e+00
8,1.285849e+00,2.336646e+00
9,1.279820e+00,2.378425e+00
10,1.276502e+00,2.416248e+00
11,1.273595e+00,2.446759e+00
12,1.271418e+00,2.473294e+00
13,1.267471e+00,2.502255e+00
14,1.264728e+00,2.523941e+00
15,1.263950e+00,2.543859e+00
16,1.261955e+00,2.563716e+00
17,1.261624e+00,2.578494e+00
18,1.250496e+00,2.593814e+00
19,1.249491e+00,2.605475e+00
20,1.246759e+00,2.617170e+00
21,1.245239e+00,2.625936e+00
22,1.244061e+00,2.634240e+00
23,1.240749e+00,2.642969e+00
24,1.240156e+00,2.649000e+00
25,1.239782e+00,2.653902e+00
26,1.239627e+00,2.659108e+00
27,1.236261e+00,2.664759e+00
28,1.234505e+00,2.669130e+00
29,1.232258e+00,2.671987e+00
30,1.224445e+00,2.675403e+00
31,1.222666e+00,2.678251e+00
32,1.217238e+00,2.681001e+00
33,1.212835e+00,2.683469e+00
34,1.212787e+00,2.685340e+00
35,1.212109e+00,2.687321e+00
36,1.208555e+00,2.688955e+00
37,1.208418e+00,2.690414e+00
38,1.204262e+00,2.691782e+00
39,1.202567e+00,2.692884e+00
40,1.201856e+00,2.693681e+00
41,1.201390e+00,2.694555e+00
42,1.194261e+00,2.695258e+00
43,1.191365e+00,2.695731e+00
44,1.191132e+00,2.696197e+00
45,1.191010e+00,2.696610e+00
46,1.189166e+00,2.697016e+00
47,1.183806e+00,2.697310e+00
48,1.182047e+00,2.697596e+00
49,1.175655e+00,2.697827e+00
50,1.174224e+00,2.697946e+00
51,1.171319e+00,2.698089e+00
52,1.170441e+00,2.698263e+00
53,1.168791e+00,2.698412e+00
54,1.166488e+00,2.698473e+00
55,1.165976e+00,2.698499e+00
56,1.165621e+00,2.698518e+00
57,1.160973e+00,2.698544e+00
58,1.160125e+00,2.698578e+00
59,1.155050e+00,2.698606e+00
60,1.154478e+00,2.698626e+00
61,1.154309e+00,2.698630e+00
62,1.152347e+00,2.698630e+00
63,1.149975e+00,2.698635e+00
64,1.148363e+00,2.698640e+00
65,1.147940e+00,2.698650e+00
66,1.146054e+00,2.698657e+00
67,1.145767e+00,2.698667e+00
68,1.143921e+00,2.698684e+00
69,1.141973e+00,2.698692e+00
70,1.141629e+00,2.698706e+00
71,1.140282e+00,2.698720e+00
72,1.138635e+00,2.698751e+00
73,1.130452e+00,2.698753e+00
74,1.130413e+00,2.698761e+00
