iter,trueNormR1,trueNormR2,normR1,normR2
0,3.584662e+00,1.087192e-16,3.584662e+00,1.087192e-16
1,1.155868e-01,6.332292e-01,1.155868e-01,6.332292e-01
2,5.167942e-02,4.272967e-01,5.167942e-02,4.272967e-01
3,3.075269e-02,3.305938e-01,3.075269e-02,3.305938e-01
4,1.918439e-02,2.615368e-01,1.918439e-02,2.615368e-01
5,1.163375e-02,2.038817e-01,1.163375e-02,2.038817e-01
6,6.173695e-03,1.486355e-01,6.173695e-03,1.486355e-01
7,2.963254e-03,1.030218e-01,2.963254e-03,1.030218e-01
8,1.472346e-03,7.263399e-02,1.472346e-03,7.263399e-02
9,7.345044e-04,5.130702e-02,7.345044e-04,5.130702e-02
10,3.613435e-04,3.598838e-02,3.613435e-04,3.598838e-02
11,1.802541e-04,2.541884e-02,1.802541e-04,2.541884e-02
12,9.196547e-05,1.815645e-02,9.196547e-05,1.815645e-02
13,4.900699e-05,1.325410e-02,4.900699e-05,1.325410e-02
14,2.638371e-05,9.725018e-03,2.638371e-05,9.725018e-03
15,1.383285e-05,7.041727e-03,1.383285e-05,7.041727e-03
16,7.208826e-06,5.083420e-03,7.208826e-06,5.083420e-03
17,3.855058e-06,3.717401e-03,3.855058e-06,3.717401e-03
18,2.133632e-06,2.765564e-03,2.133632e-06,2.765564e-03
19,1.227291e-06,2.097480e-03,1.227291e-06,2.097480e-03
20,7.402676e-07,1.628990e-03,7.402676e-07,1.628990e-03
21,4.622054e-07,1.287187e-03,4.622054e-07,1.287187e-03
22,3.011879e-07,1.039065e-03,3.011879e-07,1.039065e-03
23,2.059825e-07,8.592891e-04,2.059825e-07,8.592891e-04
24,1.427720e-07,7.153946e-04,1.427720e-07,7.153946e-04
25,9.811195e-08,5.930415e-04,9.811195e-08,5.930415e-04
26,6.582913e-08,4.857728e-04,6.582913e-08,4.857728e-04
27,4.208846e-08,3.884236e-04,4.208846e-08,3.884236e-04
28,2.584029e-08,3.043497e-04,2.584030e-08,3.043497e-04
29,1.534597e-08,2.345424e-04,1.534597e-08,2.345424e-04
30,8.505352e-09,1.746105e-04,8.505352e-09,1.746105e-04
31,4.694100e-09,1.297180e-04,4.694101e-09,1.297180e-04
32,2.561083e-09,9.581554e-05,2.561083e-09,9.581554e-05
33,1.346789e-09,6.948225e-05,1.346789e-09,6.948225e-05
34,6.964652e-10,4.996593e-05,6.964658e-10,4.996593e-05
35,3.800228e-10,3.690875e-05,3.800236e-10,3.690875e-05
36,2.103163e-10,2.745752e-05,2.103171e-10,2.745752e-05
37,1.150210e-10,2.030550e-05,1.150216e-10,2.030550e-05
38,6.119056e-11,1.481042e-05,6.119086e-11,1.481042e-05
39,3.184440e-11,1.068426e-05,3.184495e-11,1.068426e-05
40,1.620522e-11,7.621874e-06,1.620599e-11,7.621874e-06
41,8.228976e-12,5.431449e-06,8.229697e-12,5.431449e-06
42,4.085578e-12,3.827361e-06,4.086505e-12,3.827361e-06
43,1.957530e-12,2.649463e-06,1.958259e-12,2.649463e-06
