iter,trueNormR1,trueNormR2,normR1,normR2
0,5.237421e+00,1.480720e-16,5.237421e+00,1.480720e-16
1,9.648513e-02,7.042896e-01,9.648513e-02,7.042896e-01
2,4.265627e-02,4.707327e-01,4.265627e-02,4.707327e-01
3,2.428057e-02,3.557781e-01,2.428057e-02,3.557781e-01
4,1.467867e-02,2.768807e-01,1.467867e-02,2.768807e-01
5,8.671856e-03,2.129389e-01,8.671856e-03,2.129389e-01
6,4.529344e-03,1.539531e-01,4.529344e-03,1.539531e-01
7,2.163940e-03,1.064368e-01,2.163940e-03,1.064368e-01
8,1.075282e-03,7.503699e-02,1.075282e-03,7.503699e-02
9,5.356033e-04,5.296124e-02,5.356033e-04,5.296124e-02
10,2.619308e-04,3.703746e-02,2.619308e-04,3.703746e-02
11,1.299858e-04,2.609164e-02,1.299858e-04,2.609164e-02
12,6.572246e-05,1.855295e-02,6.572246e-05,1.855295e-02
13,3.455977e-05,1.345373e-02,3.455977e-05,1.345373e-02
14,1.828135e-05,9.785028e-03,1.828135e-05,9.785028e-03
15,9.334278e-06,6.991956e-03,9.334278e-06,6.991956e-03
16,4.682176e-06,4.952020e-03,4.682176e-06,4.952020e-03
17,2.387166e-06,3.535900e-03,2.387166e-06,3.535900e-03
18,1.250261e-06,2.558934e-03,1.250261e-06,2.558934e-03
19,6.786509e-07,1.885306e-03,6.786509e-07,1.885306e-03
20,3.862654e-07,1.422334e-03,3.862654e-07,1.422334e-03
21,2.281605e-07,1.093148e-03,2.281605e-07,1.093148e-03
22,1.416972e-07,8.614685e-04,1.416972e-07,8.614685e-04
23,9.411347e-08,7.020768e-04,9.411347e-08,7.020768e-04
24,6.472757e-08,5.822418e-04,6.472757e-08,5.822418e-04
25,4.489461e-08,4.849041e-04,4.489461e-08,4.849041e-04
26,3.093674e-08,4.025279e-04,3.093674e-08,4.025279e-04
27,2.067603e-08,3.290730e-04,2.067603e-08,3.290730e-04
28,1.333444e-08,2.642690e-04,1.333444e-08,2.642690e-04
29,8.349127e-09,2.091122e-04,8.349128e-09,2.091122e-04
30,4.855840e-09,1.594744e-04,4.855840e-09,1.594744e-04
31,2.765916e-09,1.203589e-04,2.765916e-09,1.203589e-04
32,1.563069e-09,9.047902e-05,1.563069e-09,9.047902e-05
33,8.461541e-10,6.657080e-05,8.461543e-10,6.657080e-05
34,4.446705e-10,4.825903e-05,4.446710e-10,4.825903e-05
35,2.433050e-10,3.569733e-05,2.433057e-10,3.569733e-05
36,1.355778e-10,2.664738e-05,1.355778e-10,2.664738e-05
37,7.486058e-11,1.980109e-05,7.486094e-11,1.980109e-05
38,4.025906e-11,1.452097e-05,4.025905e-11,1.452097e-05
39,2.105711e-11,1.050201e-05,2.105754e-11,1.050201e-05
40,1.079588e-11,7.519999e-06,1.079642e-11,7.519999e-06
41,5.561064e-12,5.397393e-06,5.561297e-12,5.397393e-06
42,2.832012e-12,3.852269e-06,2.832495e-12,3.852269e-06
