iter,c,C
1,1.348957e+00,1.348957e+00
2,1.028134e+00,1.450878e+00
3,8.035573e-01,1.572653e+00
4,7.307803e-01,1.687963e+00
5,6.947702e-01,1.780289e+00
6,6.745791e-01,1.852382e+00
7,6.645185e-01,1.918488e+00
8,6.539682e-01,1.974195e+00
9,6.492046e-01,2.020272e+00
10,6.456439e-01,2.063675e+00
11,6.433167e-01,2.103252e+00
12,6.416589e-01,2.135375e+00
13,6.392457e-01,2.167696e+00
14,6.365398e-01,2.202487e+00
15,6.357905e-01,2.230558e+00
16,6.354015e-01,2.258274e+00
17,6.351864e-01,2.285090e+00
18,6.348986e-01,2.311715e+00
19,6.345598e-01,2.332270e+00
20,6.337851e-01,2.353498e+00
21,6.337716e-01,2.370857e+00
22,6.333456e-01,2.390230e+00
23,6.329859e-01,2.406209e+00
24,6.328276e-01,2.421454e+00
25,6.320833e-01,2.437938e+00
26,6.317450e-01,2.448914e+00
27,6.314541e-01,2.459540e+00
28,6.313432e-01,2.471714e+00
29,6.309973e-01,2.482247e+00
30,6.308170e-01,2.494889e+00
31,6.308035e-01,2.502618e+00
32,6.307731e-01,2.509822e+00
33,6.307545e-01,2.519192e+00
34,6.306545e-01,2.526358e+00
35,6.306447e-01,2.533927e+00
36,6.303634e-01,2.540988e+00
37,6.302067e-01,2.547192e+00
38,6.297072e-01,2.553403e+00
39,6.292121e-01,2.558756e+00
40,6.289986e-01,2.564790e+00
41,6.287165e-01,2.570314e+00
42,6.286699e-01,2.575687e+00
43,6.285253e-01,2.579629e+00
44,6.284253e-01,2.583679e+00
45,6.280275e-01,2.588146e+00
46,6.274759e-01,2.591956e+00
47,6.274162e-01,2.594612e+00
48,6.272088e-01,2.597911e+00
49,6.271768e-01,2.601331e+00
50,6.268680e-01,2.604024e+00
51,6.267221e-01,2.606683e+00
52,6.263739e-01,2.609406e+00
53,6.261027e-01,2.612086e+00
54,6.256967e-01,2.614335e+00
55,6.256225e-01,2.616235e+00
56,6.249532e-01,2.618622e+00
57,6.247932e-01,2.620476e+00
58,6.240310e-01,2.622279e+00
59,6.239662e-01,2.623745e+00
60,6.238601e-01,2.625490e+00
61,6.236347e-01,2.627059e+00
62,6.236286e-01,2.628330e+00
63,6.234407e-01,2.629580e+00
64,6.232755e-01,2.630843e+00
65,6.232057e-01,2.631958e+00
66,6.230498e-01,2.633016e+00
67,6.229563e-01,2.633970e+00
68,6.228644e-01,2.634829e+00
69,6.228235e-01,2.635640e+00
70,6.227857e-01,2.636391e+00
71,6.227019e-01,2.637113e+00
72,6.226823e-01,2.637755e+00
73,6.224610e-01,2.638314e+00
74,6.223876e-01,2.638850e+00
75,6.223649e-01,2.639372e+00
76,6.222714e-01,2.639916e+00
77,6.220424e-01,2.640353e+00
78,6.217504e-01,2.640757e+00
79,6.217068e-01,2.641166e+00
80,6.215683e-01,2.641542e+00
81,6.215439e-01,2.641886e+00
82,6.213518e-01,2.642183e+00
