iter,trueNormR1,trueNormR2,normR1,normR2
0,9.607015e-01,5.341872e-17,9.607015e-01,5.341872e-17
1,1.474182e-01,3.462553e-01,1.474182e-01,3.462553e-01
2,6.526357e-02,2.417426e-01,6.526357e-02,2.417426e-01
3,3.898326e-02,1.895563e-01,3.898326e-02,1.895563e-01
4,2.531879e-02,1.538920e-01,2.531879e-02,1.538920e-01
5,1.287427e-02,1.104653e-01,1.287427e-02,1.104653e-01
6,3.894635e-03,6.104435e-02,3.894635e-03,6.104435e-02
7,1.602677e-03,3.920620e-02,1.602677e-03,3.920620e-02
8,7.253360e-04,2.638760e-02,7.253360e-04,2.638760e-02
9,3.184027e-04,1.748681e-02,3.184027e-04,1.748681e-02
10,1.493224e-04,1.197631e-02,1.493224e-04,1.197631e-02
11,7.693316e-05,8.596737e-03,7.693316e-05,8.596737e-03
12,4.448089e-05,6.536886e-03,4.448089e-05,6.536886e-03
13,2.741696e-05,5.132130e-03,2.741696e-05,5.132130e-03
14,1.648778e-05,3.979895e-03,1.648778e-05,3.979895e-03
15,9.450101e-06,3.013078e-03,9.450101e-06,3.013078e-03
16,5.746708e-06,2.349646e-03,5.746708e-06,2.349646e-03
17,3.480229e-06,1.828510e-03,3.480229e-06,1.828510e-03
18,1.937542e-06,1.364330e-03,1.937542e-06,1.364330e-03
19,9.071796e-07,9.335566e-04,9.071796e-07,9.335566e-04
20,4.502223e-07,6.576694e-04,4.502223e-07,6.576694e-04
21,2.205526e-07,4.603098e-04,2.205526e-07,4.603098e-04
22,1.044564e-07,3.167829e-04,1.044564e-07,3.167829e-04
23,4.864928e-08,2.161884e-04,4.864928e-08,2.161884e-04
24,2.218849e-08,1.460017e-04,2.218849e-08,1.460017e-04
25,9.808685e-09,9.707326e-05,9.808684e-09,9.707326e-05
26,4.410140e-09,6.509092e-05,4.410140e-09,6.509092e-05
27,2.297182e-09,4.697772e-05,2.297182e-09,4.697772e-05
28,1.313224e-09,3.551923e-05,1.313224e-09,3.551923e-05
29,7.164875e-10,2.623604e-05,7.164871e-10,2.623604e-05
30,4.442573e-10,2.065910e-05,4.442571e-10,2.065910e-05
31,2.375532e-10,1.510686e-05,2.375529e-10,1.510686e-05
32,1.257883e-10,1.099293e-05,1.257881e-10,1.099293e-05
33,6.511106e-11,7.908960e-06,6.511073e-11,7.908960e-06
34,2.296755e-11,4.697189e-06,2.296739e-11,4.697189e-06
35,1.039684e-11,3.159902e-06,1.039663e-11,3.159902e-06
36,3.561602e-12,1.846829e-06,3.561320e-12,1.846829e-06
37,1.239607e-12,1.069447e-06,1.239395e-12,1.069447e-06
38,5.539633e-13,6.553660e-07,5.538884e-13,6.553660e-07
