iter,trueNorm,normR
0,1.000000e+00,1.000000e+00
1,4.489900e-02,4.489900e-02
2,2.355005e-02,2.355005e-02
3,2.171270e-02,2.171270e-02
4,1.741737e-02,1.741737e-02
5,1.690662e-02,1.690662e-02
6,1.610467e-02,1.610467e-02
7,1.558471e-02,1.558471e-02
8,1.550162e-02,1.550162e-02
9,1.524513e-02,1.524513e-02
10,1.490395e-02,1.490395e-02
11,1.483258e-02,1.483258e-02
12,1.461717e-02,1.461717e-02
13,1.437128e-02,1.437128e-02
14,1.395037e-02,1.395037e-02
15,1.371240e-02,1.371240e-02
16,1.332086e-02,1.332086e-02
17,1.296636e-02,1.296636e-02
18,1.253745e-02,1.253745e-02
19,1.226948e-02,1.226948e-02
20,1.190570e-02,1.190570e-02
21,1.186157e-02,1.186157e-02
22,1.119520e-02,1.119520e-02
23,1.117309e-02,1.117309e-02
24,1.079728e-02,1.079728e-02
25,1.050769e-02,1.050769e-02
26,9.970377e-03,9.970377e-03
27,9.744510e-03,9.744510e-03
28,9.550294e-03,9.550294e-03
29,9.178834e-03,9.178834e-03
30,8.972694e-03,8.972694e-03
31,8.322639e-03,8.322639e-03
32,7.972224e-03,7.972224e-03
33,7.940943e-03,7.940943e-03
34,7.370179e-03,7.370179e-03
35,7.246013e-03,7.246013e-03
36,6.966982e-03,6.966982e-03
37,6.437527e-03,6.437527e-03
38,6.409960e-03,6.409960e-03
39,5.847915e-03,5.847915e-03
40,5.534179e-03,5.534179e-03
41,5.340725e-03,5.340725e-03
42,4.716567e-03,4.716567e-03
43,4.370003e-03,4.370003e-03
44,3.866973e-03,3.866973e-03
45,3.592479e-03,3.592479e-03
46,3.344716e-03,3.344716e-03
47,2.661330e-03,2.661330e-03
48,2.192503e-03,2.192503e-03
49,2.140300e-03,2.140300e-03
50,1.755587e-03,1.755587e-03
51,1.534236e-03,1.534236e-03
52,1.357583e-03,1.357583e-03
53,1.186736e-03,1.186736e-03
54,1.100348e-03,1.100348e-03
55,8.101035e-04,8.101035e-04
56,5.869327e-04,5.869327e-04
57,5.427229e-04,5.427229e-04
58,4.523443e-04,4.523443e-04
59,3.593160e-04,3.593160e-04
60,3.082524e-04,3.082524e-04
61,2.659510e-04,2.659510e-04
62,2.255869e-04,2.255869e-04
63,2.052029e-04,2.052029e-04
64,1.716726e-04,1.716726e-04
65,1.399627e-04,1.399627e-04
66,1.083450e-04,1.083450e-04
67,7.807316e-05,7.807316e-05
68,5.850529e-05,5.850529e-05
69,4.888797e-05,4.888797e-05
70,3.805748e-05,3.805748e-05
71,2.778257e-05,2.778257e-05
72,2.411959e-05,2.411959e-05
73,1.815610e-05,1.815610e-05
74,1.280061e-05,1.280061e-05
75,9.669336e-06,9.669336e-06
76,6.498234e-06,6.498234e-06
77,4.810207e-06,4.810207e-06
78,4.059012e-06,4.059012e-06
79,2.644918e-06,2.644918e-06
80,1.569407e-06,1.569407e-06
81,8.068675e-07,8.068675e-07
