iter,c,C
1,2.814030e+00,2.814030e+00
2,2.778082e+00,3.680909e+00
3,2.774629e+00,3.914744e+00
4,2.586581e+00,4.008883e+00
5,2.440821e+00,4.169508e+00
6,2.404169e+00,4.295194e+00
7,2.369561e+00,4.360782e+00
8,2.142726e+00,4.409997e+00
9,1.953526e+00,4.517551e+00
10,1.951183e+00,4.582362e+00
11,1.945595e+00,4.629910e+00
12,1.938514e+00,4.663339e+00
13,1.937001e+00,4.709656e+00
14,1.906996e+00,4.712146e+00
15,1.905344e+00,4.712794e+00
16,1.902929e+00,4.714462e+00
17,1.898095e+00,4.714928e+00
18,1.869528e+00,4.715454e+00
19,1.786480e+00,4.715553e+00
20,1.752443e+00,4.719864e+00
21,1.732402e+00,4.723789e+00
