iter,trueNormR1,trueNormR2,normR1,normR2
0,1.540359e+00,6.472939e-17,1.540359e+00,6.472939e-17
1,1.505716e-01,4.574522e-01,1.505716e-01,4.574522e-01
2,6.984949e-02,3.204908e-01,6.984949e-02,3.204908e-01
3,4.345508e-02,2.550452e-01,4.345508e-02,2.550452e-01
4,2.871669e-02,2.083491e-01,2.871669e-02,2.083491e-01
5,1.768946e-02,1.641195e-01,1.768946e-02,1.641195e-01
6,9.000047e-03,1.173981e-01,9.000047e-03,1.173981e-01
7,4.019852e-03,7.858661e-02,4.019852e-03,7.858661e-02
8,1.917426e-03,5.431250e-02,1.917426e-03,5.431250e-02
9,8.898687e-04,3.701250e-02,8.898687e-04,3.701250e-02
10,4.408329e-04,2.605468e-02,4.408329e-04,2.605468e-02
11,2.083294e-04,1.791253e-02,2.083294e-04,1.791253e-02
12,1.077692e-04,1.288377e-02,1.077692e-04,1.288377e-02
13,5.566601e-05,9.259727e-03,5.566601e-05,9.259727e-03
14,3.088828e-05,6.897687e-03,3.088828e-05,6.897687e-03
15,1.669695e-05,5.071392e-03,1.669695e-05,5.071392e-03
16,9.728872e-06,3.871158e-03,9.728872e-06,3.871158e-03
17,5.947126e-06,3.026660e-03,5.947126e-06,3.026660e-03
18,3.737808e-06,2.399490e-03,3.737808e-06,2.399490e-03
19,2.445758e-06,1.940963e-03,2.445758e-06,1.940963e-03
20,1.600276e-06,1.570031e-03,1.600276e-06,1.570031e-03
21,1.046456e-06,1.269613e-03,1.046456e-06,1.269613e-03
22,6.316477e-07,9.863892e-04,6.316477e-07,9.863892e-04
23,3.677180e-07,7.526072e-04,3.677180e-07,7.526072e-04
24,2.044436e-07,5.611742e-04,2.044436e-07,5.611742e-04
25,1.080441e-07,4.079542e-04,1.080441e-07,4.079542e-04
26,5.602607e-08,2.937691e-04,5.602607e-08,2.937691e-04
27,2.929182e-08,2.124145e-04,2.929182e-08,2.124145e-04
28,1.475020e-08,1.507336e-04,1.475020e-08,1.507336e-04
29,7.806685e-09,1.096590e-04,7.806686e-09,1.096590e-04
30,4.107771e-09,7.954522e-05,4.107772e-09,7.954522e-05
31,2.196220e-09,5.816328e-05,2.196220e-09,5.816328e-05
32,1.150658e-09,4.210019e-05,1.150658e-09,4.210019e-05
33,5.828849e-10,2.996418e-05,5.828850e-10,2.996418e-05
34,2.866164e-10,2.101173e-05,2.866168e-10,2.101173e-05
35,1.375301e-10,1.455492e-05,1.375302e-10,1.455492e-05
36,6.494474e-11,1.000191e-05,6.494477e-11,1.000191e-05
37,3.006522e-11,6.805241e-06,3.006533e-11,6.805241e-06
38,1.461812e-11,4.745270e-06,1.461847e-11,4.745270e-06
39,7.235624e-12,3.338505e-06,7.235791e-12,3.338505e-06
40,3.759979e-12,2.406634e-06,3.760152e-12,2.406634e-06
41,1.987479e-12,1.749663e-06,1.987472e-12,1.749663e-06
42,1.046136e-12,1.269591e-06,1.046484e-12,1.269591e-06
