iter,c,C
1,1.301008e+00,1.301008e+00
2,6.502442e-01,1.343713e+00
3,4.206534e-01,1.390282e+00
4,3.735479e-01,1.441901e+00
5,3.523138e-01,1.495342e+00
6,3.406087e-01,1.546085e+00
7,3.345733e-01,1.598901e+00
8,3.289720e-01,1.650108e+00
9,3.258774e-01,1.695252e+00
10,3.240236e-01,1.739494e+00
11,3.226399e-01,1.781563e+00
12,3.216010e-01,1.817939e+00
13,3.206197e-01,1.851844e+00
14,3.189058e-01,1.889440e+00
15,3.184569e-01,1.921636e+00
16,3.182466e-01,1.950631e+00
17,3.181613e-01,1.979645e+00
18,3.180467e-01,2.008147e+00
19,3.179421e-01,2.031936e+00
20,3.176857e-01,2.054581e+00
21,3.175780e-01,2.073395e+00
22,3.174653e-01,2.095461e+00
23,3.172726e-01,2.112989e+00
24,3.171667e-01,2.132241e+00
25,3.170164e-01,2.149967e+00
26,3.167887e-01,2.169057e+00
27,3.166994e-01,2.185127e+00
28,3.165682e-01,2.199113e+00
29,3.164696e-01,2.212290e+00
30,3.164299e-01,2.225531e+00
31,3.164069e-01,2.243990e+00
32,3.164046e-01,2.257147e+00
33,3.163863e-01,2.267051e+00
34,3.163549e-01,2.281322e+00
35,3.163356e-01,2.291901e+00
36,3.163313e-01,2.304551e+00
37,3.162063e-01,2.317686e+00
38,3.161145e-01,2.326871e+00
39,3.160376e-01,2.337936e+00
40,3.157928e-01,2.349319e+00
41,3.157784e-01,2.358611e+00
42,3.157389e-01,2.368923e+00
43,3.156885e-01,2.380301e+00
44,3.156679e-01,2.390285e+00
45,3.154755e-01,2.398545e+00
46,3.154395e-01,2.406478e+00
47,3.152466e-01,2.415646e+00
48,3.150922e-01,2.423752e+00
49,3.150686e-01,2.429837e+00
50,3.150614e-01,2.437019e+00
51,3.149666e-01,2.444484e+00
52,3.149475e-01,2.450955e+00
53,3.148502e-01,2.457810e+00
54,3.148206e-01,2.464050e+00
55,3.147393e-01,2.470518e+00
56,3.146265e-01,2.477162e+00
57,3.145804e-01,2.482406e+00
58,3.145228e-01,2.488396e+00
59,3.144766e-01,2.493734e+00
60,3.143615e-01,2.499076e+00
61,3.143458e-01,2.504168e+00
62,3.142981e-01,2.508904e+00
63,3.142734e-01,2.513756e+00
64,3.142711e-01,2.518296e+00
65,3.142371e-01,2.522491e+00
66,3.141932e-01,2.526730e+00
67,3.141697e-01,2.531281e+00
68,3.141410e-01,2.535368e+00
69,3.140775e-01,2.538885e+00
70,3.140455e-01,2.542685e+00
71,3.140419e-01,2.546479e+00
72,3.140382e-01,2.549389e+00
73,3.140285e-01,2.552894e+00
74,3.140216e-01,2.556236e+00
75,3.139808e-01,2.559061e+00
76,3.139654e-01,2.562092e+00
77,3.139634e-01,2.564765e+00
78,3.139548e-01,2.567275e+00
79,3.139489e-01,2.570192e+00
80,3.139405e-01,2.572740e+00
81,3.139203e-01,2.575408e+00
82,3.138610e-01,2.578013e+00
83,3.138539e-01,2.580222e+00
