iter,c,C
1,1.281192e+00,1.281192e+00
2,2.192016e-01,1.288866e+00
3,1.082847e-01,1.297471e+00
4,9.455944e-02,1.306645e+00
5,8.873900e-02,1.315921e+00
6,8.559994e-02,1.324801e+00
7,8.395371e-02,1.334314e+00
8,8.249237e-02,1.344356e+00
9,8.163417e-02,1.354051e+00
10,8.115049e-02,1.364435e+00
11,8.077369e-02,1.375512e+00
12,8.049625e-02,1.386387e+00
13,8.026239e-02,1.397232e+00
14,7.981331e-02,1.410789e+00
15,7.967684e-02,1.424168e+00
16,7.962404e-02,1.437050e+00
17,7.960243e-02,1.451511e+00
18,7.957895e-02,1.466752e+00
19,7.955624e-02,1.481624e+00
20,7.951014e-02,1.495483e+00
21,7.947573e-02,1.509061e+00
22,7.946374e-02,1.523869e+00
23,7.941536e-02,1.538106e+00
24,7.939096e-02,1.552979e+00
25,7.936621e-02,1.567247e+00
26,7.931486e-02,1.584257e+00
27,7.929884e-02,1.598786e+00
28,7.927140e-02,1.616120e+00
29,7.924446e-02,1.631247e+00
30,7.923465e-02,1.648747e+00
31,7.923388e-02,1.659151e+00
32,7.922623e-02,1.669760e+00
33,7.922252e-02,1.685545e+00
34,7.921160e-02,1.697436e+00
35,7.920239e-02,1.712068e+00
36,7.918174e-02,1.723179e+00
37,7.916036e-02,1.732441e+00
38,7.914924e-02,1.746983e+00
39,7.911262e-02,1.760396e+00
40,7.910980e-02,1.772178e+00
41,7.909754e-02,1.782720e+00
42,7.909556e-02,1.794482e+00
43,7.909004e-02,1.806293e+00
44,7.904973e-02,1.816625e+00
45,7.904592e-02,1.827370e+00
46,7.900904e-02,1.839683e+00
47,7.897749e-02,1.851782e+00
48,7.897472e-02,1.859951e+00
49,7.896760e-02,1.870330e+00
50,7.894295e-02,1.881340e+00
51,7.892021e-02,1.889565e+00
52,7.891595e-02,1.898800e+00
53,7.891468e-02,1.909125e+00
54,7.888989e-02,1.918241e+00
55,7.888820e-02,1.927719e+00
56,7.887829e-02,1.935837e+00
57,7.887087e-02,1.943727e+00
58,7.886761e-02,1.954072e+00
59,7.883917e-02,1.962812e+00
60,7.883161e-02,1.970881e+00
61,7.881939e-02,1.978933e+00
62,7.881754e-02,1.987917e+00
63,7.881744e-02,1.996184e+00
64,7.881391e-02,2.003495e+00
65,7.881319e-02,2.011423e+00
66,7.880819e-02,2.019615e+00
67,7.880812e-02,2.026027e+00
68,7.880012e-02,2.033897e+00
69,7.879930e-02,2.042985e+00
70,7.878940e-02,2.050921e+00
71,7.878433e-02,2.057784e+00
72,7.878279e-02,2.064979e+00
73,7.878150e-02,2.073485e+00
74,7.878020e-02,2.079895e+00
75,7.877884e-02,2.086593e+00
76,7.877587e-02,2.094810e+00
77,7.877406e-02,2.101452e+00
78,7.877272e-02,2.107695e+00
