iter,trueNormR1,trueNormR2,normR1,normR2
0,2.796674e-01,3.715345e-18,2.796674e-01,3.715345e-18
1,2.612247e-03,2.690235e-02,2.612247e-03,2.690235e-02
2,1.275970e-03,1.884726e-02,1.275970e-03,1.884726e-02
3,7.543035e-04,1.450466e-02,7.543035e-04,1.450466e-02
4,4.883300e-04,1.167611e-02,4.883300e-04,1.167611e-02
5,2.970212e-04,9.109276e-03,2.970212e-04,9.109276e-03
6,1.576186e-04,6.637465e-03,1.576186e-04,6.637465e-03
7,7.450082e-05,4.563978e-03,7.450082e-05,4.563978e-03
8,3.617932e-05,3.180702e-03,3.617932e-05,3.180702e-03
9,1.763268e-05,2.220580e-03,1.763268e-05,2.220580e-03
10,8.451003e-06,1.537335e-03,8.451003e-06,1.537335e-03
11,4.123304e-06,1.073842e-03,4.123304e-06,1.073842e-03
12,2.025457e-06,7.526289e-04,2.025457e-06,7.526289e-04
13,1.034453e-06,5.378678e-04,1.034453e-06,5.378678e-04
14,5.143469e-07,3.792701e-04,5.143469e-07,3.792701e-04
15,2.434566e-07,2.609345e-04,2.434566e-07,2.609345e-04
16,1.121968e-07,1.771377e-04,1.121968e-07,1.771377e-04
17,5.197591e-08,1.205652e-04,5.197591e-08,1.205652e-04
18,2.463867e-08,8.300983e-05,2.463867e-08,8.300983e-05
19,1.204723e-08,5.804495e-05,1.204723e-08,5.804495e-05
20,6.105526e-09,4.132211e-05,6.105526e-09,4.132211e-05
21,3.094087e-09,2.941624e-05,3.094087e-09,2.941624e-05
22,1.614028e-09,2.124596e-05,1.614028e-09,2.124596e-05
23,9.077906e-10,1.593359e-05,9.077907e-10,1.593359e-05
24,5.390864e-10,1.227864e-05,5.390865e-10,1.227864e-05
25,3.329035e-10,9.648950e-06,3.329035e-10,9.648950e-06
26,2.135027e-10,7.727208e-06,2.135028e-10,7.727208e-06
27,1.395499e-10,6.247202e-06,1.395499e-10,6.247202e-06
28,9.267840e-11,5.091083e-06,9.267845e-11,5.091083e-06
29,6.251778e-11,4.181409e-06,6.251783e-11,4.181409e-06
30,4.000045e-11,3.344671e-06,4.000053e-11,3.344671e-06
31,2.491700e-11,2.639788e-06,2.491709e-11,2.639788e-06
32,1.543730e-11,2.077812e-06,1.543734e-11,2.077812e-06
33,9.193997e-12,1.603518e-06,9.194084e-12,1.603518e-06
34,5.228852e-12,1.209270e-06,5.228890e-12,1.209270e-06
35,3.052287e-12,9.239194e-07,3.052354e-12,9.239194e-07
36,1.800931e-12,7.096853e-07,1.800961e-12,7.096853e-07
37,1.049410e-12,5.417357e-07,1.049441e-12,5.417357e-07
38,5.874291e-13,4.053011e-07,5.874331e-13,4.053011e-07
39,3.117097e-13,2.952546e-07,3.117712e-13,2.952546e-07
40,1.600256e-13,2.115134e-07,1.600289e-13,2.115134e-07
