iter,c,C
1,1.869625e+00,1.869625e+00
2,1.868206e+00,2.566726e+00
3,1.867397e+00,2.601405e+00
4,1.866998e+00,2.646923e+00
5,1.866688e+00,2.694145e+00
6,1.866601e+00,2.722965e+00
7,1.866121e+00,2.748484e+00
8,1.865920e+00,2.771158e+00
9,1.863745e+00,2.786427e+00
10,1.709747e+00,2.803402e+00
11,1.655580e+00,2.812231e+00
12,1.642166e+00,2.832583e+00
13,1.637162e+00,2.841410e+00
14,1.635604e+00,2.850463e+00
15,1.630321e+00,2.857353e+00
16,1.624873e+00,2.867570e+00
17,1.621868e+00,2.873785e+00
18,1.618419e+00,2.877781e+00
19,1.610511e+00,2.879663e+00
20,1.603062e+00,2.881502e+00
21,1.601200e+00,2.882811e+00
22,1.601175e+00,2.884420e+00
23,1.599136e+00,2.885182e+00
24,1.591222e+00,2.886586e+00
25,1.580356e+00,2.886722e+00
26,1.568765e+00,2.887489e+00
27,1.567225e+00,2.888057e+00
28,1.557194e+00,2.889850e+00
29,1.556827e+00,2.891235e+00
30,1.550073e+00,2.893457e+00
31,1.540906e+00,2.897533e+00
32,1.532109e+00,2.903212e+00
33,1.526864e+00,2.904195e+00
34,1.518599e+00,2.905046e+00
35,1.511413e+00,2.909214e+00
36,1.510588e+00,2.912612e+00
37,1.509940e+00,2.924939e+00
38,1.502874e+00,2.941524e+00
39,1.502814e+00,2.958287e+00
40,1.501886e+00,2.981945e+00
41,1.498232e+00,3.011091e+00
42,1.495524e+00,3.032977e+00
43,1.492708e+00,3.048889e+00
44,1.492014e+00,3.056916e+00
45,1.483791e+00,3.060246e+00
46,1.481525e+00,3.061304e+00
47,1.475452e+00,3.064482e+00
48,1.454305e+00,3.072804e+00
49,1.451059e+00,3.087952e+00
50,1.445331e+00,3.097738e+00
51,1.409848e+00,3.104318e+00
52,1.406865e+00,3.106677e+00
53,1.406229e+00,3.107208e+00
54,1.404268e+00,3.109176e+00
55,1.403953e+00,3.109367e+00
56,1.400399e+00,3.110983e+00
57,1.399241e+00,3.112421e+00
