iter,c,C
1,7.801778e-02,7.801778e-02
2,4.150214e-02,7.801778e-02
3,4.134289e-02,7.801778e-02
4,4.068709e-02,7.801778e-02
5,4.043395e-02,7.801778e-02
6,4.002162e-02,7.801778e-02
7,3.967781e-02,7.801778e-02
8,3.936327e-02,7.801778e-02
9,3.900063e-02,7.801778e-02
10,3.855749e-02,7.801778e-02
11,3.823408e-02,7.801778e-02
12,3.803263e-02,7.801778e-02
13,3.771246e-02,7.801778e-02
14,3.751424e-02,7.801778e-02
15,3.686494e-02,7.801778e-02
16,3.551830e-02,7.801778e-02
17,3.311022e-02,7.801778e-02
18,3.053994e-02,7.801778e-02
19,2.785958e-02,7.801778e-02
20,2.526128e-02,7.801778e-02
21,2.274071e-02,7.801778e-02
22,2.018323e-02,7.801778e-02
23,1.777117e-02,7.801778e-02
24,1.575718e-02,7.801778e-02
25,1.414049e-02,7.801778e-02
26,1.284735e-02,7.801778e-02
27,1.186128e-02,7.801778e-02
28,1.111549e-02,7.801778e-02
29,1.057857e-02,7.801778e-02
30,1.022501e-02,7.801778e-02
31,9.950648e-03,7.801778e-02
32,9.739611e-03,7.801778e-02
33,9.598733e-03,7.801778e-02
34,9.500171e-03,7.801778e-02
35,9.424219e-03,7.801778e-02
36,9.365249e-03,7.801778e-02
37,9.318235e-03,7.801778e-02
38,9.283244e-03,7.801778e-02
39,9.256378e-03,7.801778e-02
40,9.234550e-03,7.801778e-02
41,9.216596e-03,7.801778e-02
42,9.202727e-03,7.801778e-02
43,9.192145e-03,7.801778e-02
44,9.184030e-03,7.801778e-02
